"CodeWpt","CodeRoute","NomWpt","NoWpt","LatDeg","LatMin","LatMil","Hem","LongDeg","LongMin","LongMil","Grw","NbModif","RadiusWpt","RadiusVis","VitLim","VitInter","actif","CP","WPM","WPE","CodeB","Tri2","Odometre","NoWptNav","NoWptAsr","Nav","Asr","Tpe","Tpc","Tps"
"216","138","E1K0 ","1","31","15","911","S","64","18","177","W","2","200","3000","0","0","1","1","0","0","8765","1","1","1","","1","0","0","1","0"
"218","138","K7   ","2","31","16","685","S","64","19","279","W","2","200","3000","0","0","1","1","0","0","8765","2","7240","2","","1","0","0","1","0"
"220","138","DSS1 ","3","31","15","943","S","64","19","940","W","2","200","3000","0","0","1","1","0","0","8765","3","1","3","","1","0","0","1","0"
"222","138","CP1DZ","4","31","13","393","S","64","27","622","W","2","90","3000","0","30","1","1","1","0","8765","4","22200","4","","1","0","0","1","0"
"224","138","FZ24 ","5","31","13","266","S","64","28","689","W","2","90","3000","0","0","1","1","1","1","8765","5","24160","5","","1","0","0","1","0"
"226","138","DZ26 ","6","31","12","95","S","64","28","865","W","2","90","3000","0","30","1","1","1","0","8765","6","26950","6","","1","0","0","1","0"
"228","138","FZ28 ","7","31","11","603","S","64","28","727","W","2","90","3000","0","0","1","1","1","1","8765","7","28130","7","","1","0","0","1","0"
"230","138","K60  ","8","31","0","633","S","64","38","940","W","2","200","3000","0","0","1","1","1","0","8765","8","60280","8","","1","0","0","1","0"
"232","138","K87  ","9","30","50","960","S","64","39","35","W","2","200","3000","0","0","1","1","1","0","8765","9","87700","9","","1","0","0","1","0"
"234","138","DZ107","10","30","55","167","S","64","43","959","W","2","90","3000","0","30","1","1","1","0","8765","10","107790","10","","1","0","0","1","0"
"236","138","FZ108","11","30","54","907","S","64","44","208","W","2","90","3000","0","0","1","1","1","1","8765","11","108580","11","","1","0","0","1","0"
"238","138","DZ112","12","30","56","426","S","64","46","5","W","2","90","3000","0","30","1","1","1","0","8765","12","112950","12","","1","0","0","1","0"
"240","138","FZ113","13","30","56","599","S","64","46","173","W","2","90","3000","0","0","1","1","1","1","8765","13","113210","13","","1","0","0","1","0"
"242","138","INEUT","14","30","51","82","S","64","58","710","W","2","200","3000","0","0","1","1","0","0","8765","14","142260","14","","1","0","0","1","0"
"244","138","K143 ","15","30","51","206","S","64","59","583","W","2","200","3000","0","0","1","1","0","0","8765","15","143850","15","","1","0","0","1","0"
"246","138","K170 ","16","30","44","897","S","65","13","965","W","2","200","3000","0","0","1","1","0","0","8765","16","170360","16","","1","0","0","1","0"
"248","138","FNEUT","17","30","45","489","S","65","14","528","W","2","200","3000","0","0","1","1","0","0","8765","17","172190","17","","1","0","0","1","0"
"250","138","DZ190","18","30","50","975","S","65","21","787","W","2","90","3000","0","30","1","1","1","0","8765","18","190560","18","","1","0","0","1","0"
"252","138","FZ191","19","30","51","350","S","65","21","990","W","2","90","3000","0","0","1","1","1","1","8765","19","191360","19","","1","0","0","1","0"
"254","138","DZ210","20","31","0","382","S","65","21","802","W","2","90","3000","0","30","1","1","1","0","8765","20","210030","20","","1","0","0","1","0"
"256","138","FZ210","21","31","0","738","S","65","21","765","W","2","90","3000","0","0","1","1","1","1","8765","21","210720","21","","1","0","0","1","0"
"258","138","DZ218","22","31","4","378","S","65","20","898","W","2","90","3000","0","30","1","1","1","0","8765","22","218170","22","","1","0","0","1","0"
"260","138","FZ218","23","31","4","630","S","65","20","907","W","2","90","3000","0","0","1","1","1","1","8765","23","218530","23","","1","0","0","1","0"
"262","138","K265 ","24","31","22","489","S","65","17","266","W","2","200","3000","0","0","1","1","1","0","8765","24","265680","24","","1","0","0","1","0"
"264","138","CP2  ","25","31","20","773","S","65","4","797","W","2","200","3000","0","0","1","1","1","0","8765","25","285610","25","","1","0","0","1","0"
"266","138","DZ297","26","31","21","464","S","64","58","980","W","2","90","3000","0","30","1","1","1","0","8765","26","297160","26","","1","0","0","1","0"
"268","138","FZ298","27","31","21","120","S","64","58","575","W","2","90","3000","0","0","1","1","1","1","8765","27","298410","27","","1","0","0","1","0"
"270","138","K306 ","28","31","17","736","S","64","57","138","W","2","200","3000","0","0","1","1","1","0","8765","28","306850","28","","1","0","0","1","0"
